类别,年度,年度总结,指标,详情,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
制度文件,2026年,/,计划,计划,"目标：制度较2025年全面，100%满足保卫五防及保密工作需要
内容：半年度审核1次当前现有制度符合性、可用性，审核确认当前缺失制度，并开展编写修订等工作；
节点：5月、11月
输出/更新：《文件&记录清单》

内容：每季度对1个文件开展重点内容宣传，通过课程/图片/导图等方式摘取重点
节点：季度次月（2月、5月、8月、11月）
输出：制度的重点内容课程/图片/导图",,,,,,,,,,,
制度文件,2026年,,制度数量,制度数量,0,0,0,0,,,,,,,,
制度文件,2026年,,"具体名称-
版本号","具体名称-
版本号",/,/,/,/,11份保密相关制度梳理，均需修订部分内容,计划：修订6份制度（含商业秘密举报管理规定）,,,,,,
制度文件,2025年,发布/更新制度5份,制度数量,制度数量,2,/,/,/,/,2,/,/,1,/,/,/
制度文件,2025年,,"具体名称-
版本号","具体名称-
版本号",《关键部件保密管理程序》A、《研发网络管理程序》A、,/,/,/,/,《安检岗点管理程序》A、《视频监控系统管理规定》B,/,/,《保密管理规定》F,/,/,/
制度文件,2024年,发布/更新制度7份,制度数量,制度数量,/,/,/,/,/,1,/,2,1,/,3,/
制度文件,2024年,,"具体名称-
版本号","具体名称-
版本号",/,/,/,/,/,《异常事件上报管理规定》A,/,发布：《商业秘密举报管理规定》C、《安防体系管理程序》A,《跨境出差安全风险管控制度》B,/,《CLS保卫保密管理规定》A、《物理环境安全管理程序》G、《关键信息管理程序》A,/
培训数据,2026年,/,计划,计划,"目标：年度保密意识培训100%覆盖全员，保密抽查中合格率＞90%（集团范围内抽查100-500人）
内容：依据【反诈-防泄密-正道经营-五防&CLS】的顺序每季度主要开展1类培训，“防泄密”内容贯穿融汇在其他三种课程类型中
节点：每季度首月（1月、4月、7月、10月）
输出：依据课件制作课程，季度内由保卫BP向部门内部全员培训宣传，年度开展1次保密知识抽查（集团保卫部组织1次，各部门可自行开展多次）",,,,,,,,,,,
培训数据,2026年,,新员工（人数）,新员工（人数）,59,40,328,142,,,,,,,,
培训数据,2026年,,专项（场次）,专项（场次）,0,0,1,3,,,,,,,,
