年度,序号,时间,诈骗类型,涉案金额,月薪制,部门
2023,1,1月3日,虚假征信,200000.0,,
2024,1,1月11日,虚假贷款,10000.0,,锂亚产品线
2023,2,1月6日,虚假投资理财,1057931.0,,
2024,2,1月19日,虚假服务,12999.0,,储能研究院
2023,3,1月9日,接触性,3800.0,,
2024,3,3月5日,虚假服务,74487.0,,消费软包线
2023,4,2月17日,,13669.0,月薪,金源-研究所-软件设计部
2024,4,3月23日,刷单返利,22000.0,,惠州亿纬动力
2023,5,2月18日,约炮充值,6791.0,月薪,电池系统院-平台软件开发中心-软件一部
2024,5,3月23日,虚假服务,125255.0,,质量中心
2023,6,2月23日,刷单返利,207618.0,日薪,锂电池事业部-锂锰扣式-PMC-仓储
2024,6,4月4日,虚假理财,40000.0,,23K
2023,7,3月5日,约炮刷单,40006.0,实习生,动力院-研发管理中心-精密实验室
2024,7,4月6日,网恋杀猪盘,159902.0,,锂电池研究院
2023,8,3月10日,冒充公检法,10000.0,,
2024,8,4月18日,虚假理财,219372.0,,亿纬集能
2023,9,3月20日,虚假投资理财,20000.0,,
2024,9,5月下旬,网上约炮,63000.0,,金豆产品线
2023,10,3月20日,虚假交友,19500.0,日薪,锂电池事业部-锂亚产品线-前工序生产部
2024,10,5月29日,虚假服务,83713.8,,质量中心
2023,11,3月20日,刷单返利,6403.0,,
2024,11,6月1日,虚假服务,22400.0,,锂亚产品线
2023,12,3月27日,刷单返利,100000.0,,
2024,12,6月6日,虚假服务,43634.0,,
2023,13,3月28日,约炮充值,28320.0,,
2024,13,6月27日,虚假贷款,12000.0,,
2023,14,3月29日,接触性,2900.0,,
2024,14,8月6日,网络钓鱼,3700.0,,亿纬新能源
2023,15,4月4日,,8000.0,日薪,V圆柱/制造中心/23K/生产部
2024,15,8月6日,网络钓鱼,7930.0,,亿纬新能源
2023,16,4月4日,,60982.11,月薪,亿纬集能
2024,16,9月13日,虚假理财,89279.0,,潼湖厂区
2023,17,4月10日,冒充公检法,10900.0,,
2024,17,9月20日,虚假理财,43565.0,,潼湖厂区
2023,18,5月2日,冒充公检法,245136.0,日薪,锂离子电池院/小微电池所/中试研发中心
2024,18,10月20日,网上约炮,72322.0,,仲恺厂区
2023,19,5月7日,约炮刷单,17214.0,,
2024,19,总计,,1105558.8,,
2023,20,5月15日,约炮刷单,15815.0,,
2023,21,5月22日,约炮刷单,48021.0,日薪,锂离子电池部/PACK线/软包制造部/工程部
2023,22,5月25日,约炮刷单,3242.0,,
2023,23,5月28日,虚假服务,37930.93,月薪,创能-质量中心/体系管理部/体系维护
2023,24,7月2日,虚假服务,132950.0,日薪,锂离子电池院/小微电池所/新型电池技术中心
2023,25,7月18日,约炮刷单,57350.0,,
2023,26,7月21日,虚假购物,3620.0,月薪,电池系统院-PBEV技术中心-电气技术部
2023,27,8月12日,约炮刷单,21140.0,月薪,电池系统院-CBEV技术中心-电气技术部
2023,28,8月25日,,271800.0,,
2023,29,8月28日,约炮赌博,17765.0,月薪,锂离子电池院/小微电池研究所/中试研发中心
2023,30,10月2日,约炮刷单,28000.0,,
2023,31,10月7日,,51468.65,日薪,锂离子电池部/消费软包/47K/工程部
2023,32,10月19日,刷单返利,5700.0,,
2023,33,10月22日,刷单返利,10600.0,,
2023,34,10月26日,假冒客服,151026.0,月薪,安环中心
2023,35,10月27日,虚假网恋,163000.0,日薪,锂离子电池部/消费软包/32K制造部
2023,36,10月29日,虚假投资+假冒公检法,79146.0,,
2023,37,11月4日,,8600.0,日薪,锂离子电池部/消费PACK产品线/品质部
2023,38,11月10日,约炮刷单,188800.0,月薪,锂电池事业部/锂亚产品线/品质部
2023,39,11月12日,,23323.0,月薪,电池系统院- PBEV技术中心/性能&策略部
2023,41,2025-11-25 00:00:00,充值返现,1500.0,,消费PACK产品线
2023,40,12月22日,虚假网贷,15000.0,,金源自动化
